questionnaire_item_id,feature,question_text_primary,caregiver_question,psychologist_question,feature_label_human,feature_description,term_explanation,section_name,subsection_name,questionnaire_section_suggested,questionnaire_subsection_suggested,layer,domain,domains_final,module,criterion_ref,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,visible_question_yes_no,generated_input_yes_no,show_in_questionnaire_yes_no,is_direct_input,is_transparent_derived,derivable_if_not_shown_yes_no,requires_internal_scoring,requires_exact_item_wording,requires_clinician_administration,requires_child_self_report,who_answers,respondent_expected,administered_by,response_type,scale_id,scale_name,response_options_json,min_value,max_value,unit,scale_guidance,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,modes_applicable,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,derived_from_features,internal_scoring_formula_summary,selection_rationale,help_text,notes,canonical_question_id,reuse_answer_from_question_id,question_audit_status
Q076,sep_anx_01_distress_on_separation,¿Se angustia mucho cuando se separa de sus figuras de apego principales?,¿Se angustia mucho cuando se separa de sus figuras de apego principales?,¿Se angustia mucho cuando se separa de sus figuras de apego principales?,Sep anx 01 distress on separation,Input for separation_anxiety - Sep anx 01 distress on separation,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A1,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",yes,yes,yes,yes,yes,yes,"caregiver_1_3, caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",49.0,49.0,alta,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo madre, padre o cuidador principal.",,,,audited_v16_4
Q077,sep_anx_02_worry_losing_attachment_figures,¿Le preocupa perder a sus figuras de apego o que les pase algo grave?,¿Le preocupa perder a sus figuras de apego o que les pase algo grave?,¿Le preocupa perder a sus figuras de apego o que les pase algo grave?,Sep anx 02 worry losing attachment figures,Input for separation_anxiety - Sep anx 02 worry losing attachment figures,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A2,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",50.0,50.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Incluya miedo a enfermedad, accidente o muerte.",,,,audited_v16_4
Q078,sep_anx_03_worry_event_causing_separation,¿Le preocupa que ocurra algo que lo separe de sus figuras de apego?,¿Le preocupa que ocurra algo que lo separe de sus figuras de apego?,¿Le preocupa que ocurra algo que lo separe de sus figuras de apego?,Sep anx 03 worry event causing separation,Input for separation_anxiety - Sep anx 03 worry event causing separation,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A3,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",51.0,51.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo perderse, ser secuestrado o tener un accidente.",,,,audited_v16_4
Q079,sep_anx_04_refuses_leaving_home_school,"¿Evita o se niega a salir de casa, ir al colegio o quedarse en otros lugares por miedo a separarse?","¿Evita o se niega a salir de casa, ir al colegio o quedarse en otros lugares por miedo a separarse?","¿Evita o se niega a salir de casa, ir al colegio o quedarse en otros lugares por miedo a separarse?",Sep anx 04 refuses leaving home school,Input for separation_anxiety - Sep anx 04 refuses leaving home school,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A4,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",52.0,52.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Observe rechazo persistente motivado por separación.,,,,audited_v16_4
Q080,sep_anx_05_fear_being_alone_without_attachment,¿Le da miedo estar solo o sin una figura de apego cerca?,¿Le da miedo estar solo o sin una figura de apego cerca?,¿Le da miedo estar solo o sin una figura de apego cerca?,Sep anx 05 fear being alone without attachment,Input for separation_anxiety - Sep anx 05 fear being alone without attachment,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A5,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",53.0,53.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Incluya miedo a quedarse solo en casa o en otros espacios.,,,,audited_v16_4
Q081,sep_anx_06_refuses_sleep_away_or_alone,¿Se niega a dormir fuera de casa o a dormir solo por miedo a la separación?,¿Se niega a dormir fuera de casa o a dormir solo por miedo a la separación?,¿Se niega a dormir fuera de casa o a dormir solo por miedo a la separación?,Sep anx 06 refuses sleep away or alone,Input for separation_anxiety - Sep anx 06 refuses sleep away or alone,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A6,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",54.0,54.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Observe si necesita dormir acompañado por ese motivo.,,,,audited_v16_4
Q082,sep_anx_07_separation_nightmares,¿Tiene pesadillas relacionadas con la separación?,¿Tiene pesadillas relacionadas con la separación?,¿Tiene pesadillas relacionadas con la separación?,Sep anx 07 separation nightmares,Input for separation_anxiety - Sep anx 07 separation nightmares,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A7,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",55.0,55.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo sueños de pérdida, abandono o daño a cuidadores.",,,,audited_v16_4
Q083,sep_anx_08_physical_complaints_on_separation,"¿Presenta molestias físicas, como dolor de cabeza, dolor de estómago o náuseas, cuando anticipa o vive una separación?","¿Presenta molestias físicas, como dolor de cabeza, dolor de estómago o náuseas, cuando anticipa o vive una separación?",¿Presenta molestias físicas cuando anticipa o vive una separación?,Sep anx 08 physical complaints on separation,Input for separation_anxiety - Sep anx 08 physical complaints on separation,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_A8,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",56.0,56.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo dolor de cabeza, estómago o náuseas.",,,,audited_v16_4
Q084,sep_anx_duration_weeks,¿Desde hace cuántas semanas viene ocurriendo este miedo intenso a separarse de sus figuras de cuidado principales?,¿Desde hace cuántas semanas viene ocurriendo este miedo intenso a separarse de sus figuras de cuidado principales?,¿Desde hace cuántas semanas viene ocurriendo este miedo intenso a separarse de sus figuras de cuidado principales?,Sep anx duration weeks,Input for separation_anxiety - Sep anx duration weeks,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_B,dsm5,duration_item,duration_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,integer,INTEGER_WEEKS,Número de semanas,,0.0,520.0,semanas,Ingrese un número entero de semanas.,no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",94.0,94.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,Cuente el tiempo desde que este miedo o malestar comenzó a verse de manera clara y repetida.,,,,audited_v16_4
Q085,sep_anx_impairment,¿Cuánto afecta a la vida diaria este miedo a separarse de sus figuras de cuidado principales?,¿Cuánto afecta a la vida diaria este miedo a separarse de sus figuras de cuidado principales?,¿Cuánto afecta a la vida diaria este miedo a separarse de sus figuras de cuidado principales?,Sep anx impairment,Input for separation_anxiety - Sep anx impairment,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|elimination|anxiety|depression,separation_anxiety,Separation_C,dsm5,impairment_item,impairment_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,IMPACT_0_3,Impacto 0-3,"[{""value"": 0, ""label"": ""0 = Sin impacto""}, {""value"": 1, ""label"": ""1 = Impacto leve""}, {""value"": 2, ""label"": ""2 = Impacto moderado""}, {""value"": 3, ""label"": ""3 = Impacto marcado""}]",0.0,3.0,,"0 sin impacto, 1 impacto leve, 2 impacto moderado, 3 impacto marcado.",no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",81.0,81.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,"Considere si dificulta ir al colegio, dormir, quedarse con otras personas o separarse de sus cuidadores.",,,,audited_v16_4
Q086,sep_anx_not_better_explained,"Según su juicio clínico, ¿este miedo a separarse de sus figuras de cuidado no se explica mejor por otro problema clínico?","Según su juicio clínico, ¿este miedo a separarse de sus figuras de cuidado no se explica mejor por otro problema clínico?","Según su juicio clínico, ¿este miedo a separarse de sus figuras de cuidado no se explica mejor por otro problema clínico?",Sep anx not better explained,Input for separation_anxiety - Sep anx not better explained,Ansiedad por separación: miedo intenso a separarse de las figuras de apego principales.,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,"4. Miedos, preocupación y evitación",Miedo a separarse de sus cuidadores,dsm5,adhd,adhd|depression,separation_anxiety,Separation_D,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,yes,no,yes,yes,no,no,no,yes,no,no,Psicólogo/a,psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,no,no,no,no,yes,psychologist_full,,139.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,Solo psicólogo.,,,,audited_v16_4
Q087,social_anxiety_almost_always_triggered,¿Ese miedo aparece casi siempre cuando enfrenta esas situaciones?,¿Ese miedo aparece casi siempre cuando enfrenta esas situaciones?,¿Ese miedo aparece casi siempre cuando enfrenta esas situaciones?,Social anxiety almost always triggered,Input for social_anxiety - Social anxiety almost always triggered,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|elimination|anxiety|depression,social_anxiety,Social_C,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",57.0,57.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,No marque alto si solo ocurre de forma aislada.,,,,audited_v16_4
Q088,social_anxiety_avoid_or_endure_intense,¿Evita esas situaciones o las soporta con mucha ansiedad?,¿Evita esas situaciones o las soporta con mucha ansiedad?,¿Evita esas situaciones o las soporta con mucha ansiedad?,Social anxiety avoid or endure intense,Input for social_anxiety - Social anxiety avoid or endure intense,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|elimination|anxiety|depression,social_anxiety,Social_D,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",58.0,58.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Observe evitación activa o resistencia con intenso malestar.,,,,audited_v16_4
Q089,social_anxiety_children_peer_only_flag,"¿Este miedo también aparece con personas de su misma edad, y no solo con adultos?","¿Este miedo también aparece con personas de su misma edad, y no solo con adultos?","¿Este miedo también aparece con personas de la misma edad, no solo con adultos?",Social anxiety children peer only flag,Input for social_anxiety - Social anxiety children peer only flag,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|depression,social_anxiety,Social_A_note,dsm5,criteria_support,criteria_support,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,no,yes,no,no,yes,"caregiver_full, psychologist_full",131.0,149.0,baja,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,Ayuda a distinguir la ansiedad social de la timidez situacional con adultos.,,,,audited_v16_4
Q090,social_anxiety_disproportionate,"Según su juicio clínico, ¿el miedo es claramente desproporcionado para la situación?","Según su juicio clínico, ¿el miedo es claramente desproporcionado para la situación?","Según su juicio clínico, ¿el miedo es claramente desproporcionado para la situación?",Social anxiety disproportionate,Input for social_anxiety - Social anxiety disproportionate,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|depression,social_anxiety,Social_E,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,yes,no,yes,yes,no,no,no,yes,no,no,Psicólogo/a,psychologist,caregiver_or_psychologist,single_choice,YES_NO,Sí / No,"[{""value"": 0, ""label"": ""No""}, {""value"": 1, ""label"": ""Sí""}]",0.0,1.0,,Seleccione Sí o No.,no,no,no,no,no,yes,psychologist_full,,176.0,no_aplica,baja,,,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,Solo psicólogo.,,,,audited_v16_4
Q091,social_anxiety_duration_months,¿Cuántos meses lleva presente este patrón de ansiedad social?,¿Cuántos meses lleva presente este patrón de ansiedad social?,¿Cuántos meses lleva presente este patrón de ansiedad social?,Social anxiety duration months,Input for social_anxiety - Social anxiety duration months,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|elimination|anxiety|depression,social_anxiety,Social_F,dsm5,duration_item,duration_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,integer,INTEGER_MONTHS,Número de meses,,0.0,240.0,meses,Ingrese un número entero de meses.,no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",95.0,95.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,Duración del problema en meses.,,,,audited_v16_4
Q092,social_anxiety_fear_being_observed,¿Le da mucho miedo hacer algo mientras otras personas lo observan?,¿Le da mucho miedo hacer algo mientras otras personas lo observan?,¿Le da mucho miedo hacer algo mientras otras personas lo observan?,Social anxiety fear being observed,Input for social_anxiety - Social anxiety fear being observed,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|elimination|anxiety|depression,social_anxiety,Social_A,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",59.0,59.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo comer, escribir, leer o participar.",,,,audited_v16_4
Q093,social_anxiety_fear_interactions,¿Le da mucho miedo interactuar con otras personas?,¿Le da mucho miedo interactuar con otras personas?,¿Le da mucho miedo interactuar con otras personas?,Social anxiety fear interactions,Input for social_anxiety - Social anxiety fear interactions,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|anxiety|depression,social_anxiety,Social_A,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,yes,yes,yes,"caregiver_2_3, caregiver_full, psychologist_1_3, psychologist_2_3, psychologist_full",60.0,60.0,media,alta,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,"Por ejemplo hablar, acercarse o iniciar conversación.",,,,audited_v16_4
Q094,social_anxiety_fear_negative_evaluation,"¿Le preocupa intensamente hacer el ridículo, quedar mal o ser juzgado negativamente?","¿Le preocupa intensamente hacer el ridículo, quedar mal o ser juzgado negativamente?","¿Le preocupa intensamente hacer el ridículo, quedar mal o ser juzgado negativamente?",Social anxiety fear negative evaluation,Input for social_anxiety - Social anxiety fear negative evaluation,"Ansiedad social: miedo intenso a ser observado, juzgado o quedar mal frente a otras personas.","4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,"4. Miedos, preocupación y evitación",Miedo a interactuar o ser observado,dsm5,adhd,adhd|elimination|anxiety|depression,social_anxiety,Social_B,dsm5,symptom_item,symptom_item,model_input,direct_both,yes,no,yes,yes,no,no,no,yes,no,no,Cuidador y/o psicólogo/a,caregiver_or_psychologist,caregiver_or_psychologist,single_choice,FREQ_0_3,Frecuencia 0-3,"[{""value"": 0, ""label"": ""0 = Nunca o ausente""}, {""value"": 1, ""label"": ""1 = Leve / ocasional""}, {""value"": 2, ""label"": ""2 = Claro / frecuente""}, {""value"": 3, ""label"": ""3 = Muy marcado / casi siempre""}]",0.0,3.0,,"0 nunca o ausente, 1 leve u ocasional, 2 claro o frecuente, 3 muy marcado o casi siempre.",no,yes,yes,no,yes,yes,"caregiver_2_3, caregiver_full, psychologist_2_3, psychologist_full",61.0,61.0,media,media,,,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,Observe miedo a vergüenza o humillación.,,,,audited_v16_4
